Environment: Ubuntu 24.04.3
CPU: Intel Xeon E-2386G 3.50 GHz - One core used
Options: pawns allowed on first & last rows, color on move counts.

Version	Size	Time (Ruby)	Time (C)	Positions
v3.4	2x1	0.07s	0.00s	0
v3.3	3x1	0.08s	0.00s	36
v3.4	2x2	0.07s	0.00s	0
v3.3	4x1	0.07s	0.00s	1108
v3.3	5x1	0.06s	0.00s	23432
v3.3	2x3	0.06s	0.00s	114444
v3.3	3x2	0.06s	0.00s	114444
v3.3	6x1	0.07s	0.00s	418920
v3.3	7x1	0.07s	0.00s	6793260
v3.3	2x4	0.07s	0.00s	35667360
v3.3	4x2	0.07s	0.00s	35606772
v3.3	8x1	0.09s	0.00s	103297596
v3.3	3x3	0.08s	0.00s	462499280
v3.3	2x5	0.08s	0.00s	7840076616
v3.3	5x2	0.08s	0.00s	7819314876
v3.3	2x6	0.12s	0.00s	1482709442832
v3.3	3x4	0.19s	0.00s	1206543756960
v3.3	4x3	0.19s	0.00s	1205577115560
v3.3	6x2	0.11s	0.00s	1477830068100
v3.3	2x7	0.22s	0.00s	257049952908408
v3.3	7x2	0.22s	0.00s	256083320057004
v3.3	3x5	0.67s	0.01s	2602464854937520
v3.3	5x3	0.68s	0.01s	2598689625197040
v3.3	2x8	0.45s	0.01s	42073231346967744
v3.3	4x4	1.12s	0.01s	31712426848776000
v3.3	8x2	0.47s	0.01s	41899879697014548
v3.3	3x6	3.13s	0.04s	5069351970056850080
v3.3	6x3	3.20s	0.04s	5059417974211428520
v3.3	4x5	8.27s	0.09s	720859773905142387200
v3.3	5x4	7.60s	0.09s	720394349681688768000
v3.3	3x7	11.96s	0.13s	9255451122771901390640
v3.3	7x3	11.53s	0.13s	9233569430210395358000
v3.3	3x8	41.21s	0.44s	16151460969632841919255200
v3.3	4x6	44.97s	0.50s	15041355907424276231630400
v3.3	6x4	41.70s	0.47s	15023962614909044146680000
v3.3	8x3	41.49s	0.44s	16107981600380532408333480
v3.3	5x5	1m01.30s	0.68s	176078291087324342103598800
v3.3	4x7	3m32.90s	2.19s	296608771824485326399591701600
v3.3	7x4	3m08.70s	1.97s	296144098446225421267282748000
v3.3	5x6	6m45.83s	4.25s	39826694819865490933343939939200
v3.3	6x5	5m46.69s	4.57s	39806288837988342334310568208000
v3.3	4x8	12m27.19s	7.73s	5617552023538157235445573028200800
v3.3	8x4	11m56.02s	7.41s	5606866675449736705209170744412000
v3.3	5x7	35m30.22s	22.03s	8550075619937249405969458084206031600
v3.3	7x5	35m05.14s	21.68s	8542160097647575273782567007476361200
v3.3	6x6	47m40.50s	30.06s	98086344141404433947657547726423118080
v3.3	5x8	2h36m44s	1m36.34s	1767502934738388689860421781050545461336000
v3.3	8x5	2h19m26s	1m35.91s	1765266352654211654720960116312253492222400
v3.3	6x7	3h15m44s	2m47.49s	230025329878999103940476395245009369627849120
v3.3	7x6	3h58m08s	2m51.16s	229929889350369360078738953901571219743573920
v3.3	6x8	12h13m30s	12m48.92s	520316952818388300790381475800761508766050146423360
v3.4	8x6	7h58m29s	5m23.80s	519923168686183072458988215443481553635827680896960
v3.4	7x7	6h21m12s	7m06.36s	5901436019947392719293053406641087133666139004561360
v3.4	7x8		30m16.15s	146272338810135557547136121729915572512822628287119576381280
v3.4	8x7		32m37.76s	146222183906553872411308257204100611559555147722778520458080
v3.4	8x8		1h50m41s	39748133967888022482534955275781684862797374450764812108371397949760
